region_name,region_code,year,population_in_k
AFRICA,903,1950.0,225120.311
AFRICA,903,1951.0,229978.205
AFRICA,903,1952.0,234989.784
AFRICA,903,1953.0,240182.336
AFRICA,903,1954.0,245492.559
AFRICA,903,1955.0,250996.982
AFRICA,903,1956.0,256698.473
AFRICA,903,1957.0,262564.291
AFRICA,903,1958.0,268466.173
AFRICA,903,1959.0,274392.942
AFRICA,903,1960.0,280903.431
AFRICA,903,1961.0,287672.28
AFRICA,903,1962.0,294682.834
AFRICA,903,1963.0,301985.273
AFRICA,903,1964.0,309525.177
AFRICA,903,1965.0,317406.226
AFRICA,903,1966.0,325487.745
AFRICA,903,1967.0,333828.338
AFRICA,903,1968.0,342490.85
AFRICA,903,1969.0,351469.169
AFRICA,903,1970.0,360671.324
AFRICA,903,1971.0,370228.892
AFRICA,903,1972.0,379942.817
AFRICA,903,1973.0,389917.966
AFRICA,903,1974.0,400506.076
AFRICA,903,1975.0,411631.597
AFRICA,903,1976.0,423481.663
AFRICA,903,1977.0,435664.215
AFRICA,903,1978.0,447738.607
AFRICA,903,1979.0,461186.751
AFRICA,903,1980.0,474765.018
AFRICA,903,1981.0,488320.528
AFRICA,903,1982.0,502990.144
AFRICA,903,1983.0,518090.313
AFRICA,903,1984.0,532579.749
AFRICA,903,1985.0,547785.817
AFRICA,903,1986.0,563519.444
AFRICA,903,1987.0,579773.407
AFRICA,903,1988.0,596386.005
AFRICA,903,1989.0,612636.448
AFRICA,903,1990.0,629698.822
AFRICA,903,1991.0,646615.651
AFRICA,903,1992.0,663465.334
AFRICA,903,1993.0,680397.762
AFRICA,903,1994.0,697882.155
AFRICA,903,1995.0,715094.433
AFRICA,903,1996.0,733568.907
AFRICA,903,1997.0,751960.589
AFRICA,903,1998.0,770488.299
AFRICA,903,1999.0,789327.771
AFRICA,903,2000.0,808870.908
AFRICA,903,2001.0,829033.206
AFRICA,903,2002.0,849894.536
AFRICA,903,2003.0,871328.387
AFRICA,903,2004.0,893370.138
AFRICA,903,2005.0,916192.532
AFRICA,903,2006.0,939603.669
AFRICA,903,2007.0,963876.874
AFRICA,903,2008.0,989046.013
AFRICA,903,2009.0,1014916.549
AFRICA,903,2010.0,1041484.014
AFRICA,903,2011.0,1068982.78
AFRICA,903,2012.0,1096368.821
AFRICA,903,2013.0,1125225.647
AFRICA,903,2014.0,1155135.513
AFRICA,903,2015.0,1185462.534
AFRICA,903,2016.0,1216753.343
AFRICA,903,2017.0,1247469.864
AFRICA,903,2018.0,1279197.602
AFRICA,903,2019.0,1311332.496
AFRICA,903,2020.0,1344069.83
AFRICA,903,2021.0,1377284.631
ASIA,935,1950.0,1365952.997
ASIA,935,1951.0,1392143.743
ASIA,935,1952.0,1419144.196
ASIA,935,1953.0,1450861.331
ASIA,935,1954.0,1481907.305
ASIA,935,1955.0,1515565.885
ASIA,935,1956.0,1550239.747
ASIA,935,1957.0,1584715.84
ASIA,935,1958.0,1622538.813
ASIA,935,1959.0,1658386.13
ASIA,935,1960.0,1687109.645
ASIA,935,1961.0,1711940.692
ASIA,935,1962.0,1739857.035
ASIA,935,1963.0,1782610.442
ASIA,935,1964.0,1832052.26
ASIA,935,1965.0,1878936.957
ASIA,935,1966.0,1925486.85
ASIA,935,1967.0,1971831.506
ASIA,935,1968.0,2017876.616
ASIA,935,1969.0,2068910.511
ASIA,935,1970.0,2119694.222
ASIA,935,1971.0,2171399.965
ASIA,935,1972.0,2220735.956
ASIA,935,1973.0,2271713.15
ASIA,935,1974.0,2322775.56
ASIA,935,1975.0,2372414.663
ASIA,935,1976.0,2419626.989
ASIA,935,1977.0,2467033.627
ASIA,935,1978.0,2514023.576
ASIA,935,1979.0,2560871.419
ASIA,935,1980.0,2610304.951
ASIA,935,1981.0,2661722.167
ASIA,935,1982.0,2715237.844
ASIA,935,1983.0,2771341.323
ASIA,935,1984.0,2825836.209
ASIA,935,1985.0,2881942.971
ASIA,935,1986.0,2939232.854
ASIA,935,1987.0,2998843.165
ASIA,935,1988.0,3059915.565
ASIA,935,1989.0,3120066.083
ASIA,935,1990.0,3180894.355
ASIA,935,1991.0,3241809.798
ASIA,935,1992.0,3297896.077
ASIA,935,1993.0,3352479.36
ASIA,935,1994.0,3405643.254
ASIA,935,1995.0,3458387.205
ASIA,935,1996.0,3509970.787
ASIA,935,1997.0,3560877.017
ASIA,935,1998.0,3611314.105
ASIA,935,1999.0,3661400.597
ASIA,935,2000.0,3710927.693
ASIA,935,2001.0,3761147.996
ASIA,935,2002.0,3811211.569
ASIA,935,2003.0,3860127.348
ASIA,935,2004.0,3908494.54
ASIA,935,2005.0,3956347.487
ASIA,935,2006.0,4004384.39
ASIA,935,2007.0,4052309.677
ASIA,935,2008.0,4099833.823
ASIA,935,2009.0,4147932.288
ASIA,935,2010.0,4196968.511
ASIA,935,2011.0,4245373.512
ASIA,935,2012.0,4293874.446
ASIA,935,2013.0,4342769.362
ASIA,935,2014.0,4390138.053
ASIA,935,2015.0,4437208.643
ASIA,935,2016.0,4481666.274
ASIA,935,2017.0,4526640.702
ASIA,935,2018.0,4569966.19
ASIA,935,2019.0,4610076.814
ASIA,935,2020.0,4647857.977
ASIA,935,2021.0,4680790.173
EUROPE,908,1950.0,547304.279
EUROPE,908,1951.0,552139.158
EUROPE,908,1952.0,556979.846
EUROPE,908,1953.0,562239.961
EUROPE,908,1954.0,567877.306
EUROPE,908,1955.0,573464.682
EUROPE,908,1956.0,579145.266
EUROPE,908,1957.0,584805.766
EUROPE,908,1958.0,590617.503
EUROPE,908,1959.0,596721.09
EUROPE,908,1960.0,602648.649
EUROPE,908,1961.0,608611.09
EUROPE,908,1962.0,614810.951
EUROPE,908,1963.0,620533.46
EUROPE,908,1964.0,626138.528
EUROPE,908,1965.0,631751.228
EUROPE,908,1966.0,636783.984
EUROPE,908,1967.0,641744.939
EUROPE,908,1968.0,646483.934
EUROPE,908,1969.0,650736.449
EUROPE,908,1970.0,654744.742
EUROPE,908,1971.0,658298.11
EUROPE,908,1972.0,662653.909
EUROPE,908,1973.0,666945.449
EUROPE,908,1974.0,670872.594
EUROPE,908,1975.0,674953.289
EUROPE,908,1976.0,678588.401
EUROPE,908,1977.0,682133.899
EUROPE,908,1978.0,685563.521
EUROPE,908,1979.0,688735.585
EUROPE,908,1980.0,691839.825
EUROPE,908,1981.0,695034.632
EUROPE,908,1982.0,697823.748
EUROPE,908,1983.0,700616.992
EUROPE,908,1984.0,703412.556
EUROPE,908,1985.0,706184.689
EUROPE,908,1986.0,708847.885
EUROPE,908,1987.0,711922.268
EUROPE,908,1988.0,715008.409
EUROPE,908,1989.0,717880.454
EUROPE,908,1990.0,720335.312
EUROPE,908,1991.0,722659.251
EUROPE,908,1992.0,724546.545
EUROPE,908,1993.0,725972.44
EUROPE,908,1994.0,726911.345
EUROPE,908,1995.0,727214.979
EUROPE,908,1996.0,727385.837
EUROPE,908,1997.0,727521.296
EUROPE,908,1998.0,727611.664
EUROPE,908,1999.0,727279.548
EUROPE,908,2000.0,726920.484
EUROPE,908,2001.0,727016.462
