region_name,region_code,year,population_in_k
Eastern Africa,910,1950.0,65038.815
Eastern Africa,910,1951.0,66549.657
Eastern Africa,910,1952.0,68106.972
Eastern Africa,910,1953.0,69703.301
Eastern Africa,910,1954.0,71334.228
Eastern Africa,910,1955.0,73036.923
Eastern Africa,910,1956.0,74808.743
Eastern Africa,910,1957.0,76651.972
Eastern Africa,910,1958.0,78438.304
Eastern Africa,910,1959.0,80256.629
Eastern Africa,910,1960.0,82347.788
Eastern Africa,910,1961.0,84527.21
Eastern Africa,910,1962.0,86850.072
Eastern Africa,910,1963.0,89233.145
Eastern Africa,910,1964.0,91704.55
Eastern Africa,910,1965.0,94344.998
Eastern Africa,910,1966.0,97037.412
Eastern Africa,910,1967.0,99767.717
Eastern Africa,910,1968.0,102659.717
Eastern Africa,910,1969.0,105686.65
Eastern Africa,910,1970.0,108791.24
Eastern Africa,910,1971.0,111986.284
Eastern Africa,910,1972.0,115245.381
Eastern Africa,910,1973.0,118415.726
Eastern Africa,910,1974.0,121895.227
Eastern Africa,910,1975.0,125462.287
Eastern Africa,910,1976.0,129080.356
Eastern Africa,910,1977.0,132894.94
Eastern Africa,910,1978.0,136398.498
Eastern Africa,910,1979.0,140655.858
Eastern Africa,910,1980.0,144734.52
Eastern Africa,910,1981.0,148651.189
Eastern Africa,910,1982.0,153399.034
Eastern Africa,910,1983.0,158183.587
Eastern Africa,910,1984.0,162858.817
Eastern Africa,910,1985.0,167737.647
Eastern Africa,910,1986.0,172893.748
Eastern Africa,910,1987.0,178161.558
Eastern Africa,910,1988.0,183731.649
Eastern Africa,910,1989.0,188759.369
Eastern Africa,910,1990.0,194146.924
Eastern Africa,910,1991.0,199821.242
Eastern Africa,910,1992.0,205283.199
Eastern Africa,910,1993.0,210889.494
Eastern Africa,910,1994.0,216784.793
Eastern Africa,910,1995.0,221023.512
Eastern Africa,910,1996.0,227656.204
Eastern Africa,910,1997.0,234777.071
Eastern Africa,910,1998.0,241421.99
Eastern Africa,910,1999.0,247953.633
Eastern Africa,910,2000.0,254927.971
Eastern Africa,910,2001.0,262019.756
Eastern Africa,910,2002.0,269434.168
Eastern Africa,910,2003.0,277053.518
Eastern Africa,910,2004.0,285079.664
Eastern Africa,910,2005.0,293236.581
Eastern Africa,910,2006.0,301588.869
Eastern Africa,910,2007.0,310252.741
Eastern Africa,910,2008.0,319267.105
Eastern Africa,910,2009.0,328460.773
Eastern Africa,910,2010.0,337821.748
Eastern Africa,910,2011.0,347658.865
Eastern Africa,910,2012.0,357365.526
Eastern Africa,910,2013.0,367555.61
Eastern Africa,910,2014.0,377966.7
Eastern Africa,910,2015.0,388060.379
Eastern Africa,910,2016.0,398637.734
Eastern Africa,910,2017.0,409505.887
Eastern Africa,910,2018.0,420329.255
Eastern Africa,910,2019.0,431567.089
Eastern Africa,910,2020.0,443356.996
Eastern Africa,910,2021.0,455227.934
Middle Africa,911,1950.0,26387.968
Middle Africa,911,1951.0,26880.865
Middle Africa,911,1952.0,27390.967
Middle Africa,911,1953.0,27918.502
Middle Africa,911,1954.0,28449.268
Middle Africa,911,1955.0,29000.12
Middle Africa,911,1956.0,29566.133
Middle Africa,911,1957.0,30150.953
Middle Africa,911,1958.0,30753.736
Middle Africa,911,1959.0,31358.443
Middle Africa,911,1960.0,32022.6
Middle Africa,911,1961.0,32705.799
Middle Africa,911,1962.0,33407.644
Middle Africa,911,1963.0,34166.715
Middle Africa,911,1964.0,34953.931
Middle Africa,911,1965.0,35754.704
Middle Africa,911,1966.0,36589.53
Middle Africa,911,1967.0,37446.125
Middle Africa,911,1968.0,38337.689
Middle Africa,911,1969.0,39262.365
Middle Africa,911,1970.0,40236.922
Middle Africa,911,1971.0,41278.458
Middle Africa,911,1972.0,42345.819
Middle Africa,911,1973.0,43492.945
Middle Africa,911,1974.0,44682.079
Middle Africa,911,1975.0,45896.761
Middle Africa,911,1976.0,47120.152
Middle Africa,911,1977.0,48298.608
Middle Africa,911,1978.0,49518.534
Middle Africa,911,1979.0,51086.296
Middle Africa,911,1980.0,52653.651
Middle Africa,911,1981.0,54026.714
Middle Africa,911,1982.0,55581.458
Middle Africa,911,1983.0,57261.967
Middle Africa,911,1984.0,58896.366
Middle Africa,911,1985.0,60599.367
Middle Africa,911,1986.0,62399.86
Middle Africa,911,1987.0,64367.445
Middle Africa,911,1988.0,66386.617
Middle Africa,911,1989.0,68493.497
Middle Africa,911,1990.0,70688.281
Middle Africa,911,1991.0,72986.404
Middle Africa,911,1992.0,75434.794
Middle Africa,911,1993.0,77712.115
Middle Africa,911,1994.0,80190.465
Middle Africa,911,1995.0,83883.956
Middle Africa,911,1996.0,86382.733
Middle Africa,911,1997.0,88270.116
Middle Africa,911,1998.0,90413.763
Middle Africa,911,1999.0,93101.612
Middle Africa,911,2000.0,95875.334
Middle Africa,911,2001.0,98836.537
Middle Africa,911,2002.0,101866.048
Middle Africa,911,2003.0,105010.093
Middle Africa,911,2004.0,108297.923
Middle Africa,911,2005.0,111839.983
Middle Africa,911,2006.0,115455.659
Middle Africa,911,2007.0,119228.879
Middle Africa,911,2008.0,123119.187
Middle Africa,911,2009.0,127166.37
Middle Africa,911,2010.0,131414.496
Middle Africa,911,2011.0,135813.354
Middle Africa,911,2012.0,140385.355
Middle Africa,911,2013.0,144975.803
Middle Africa,911,2014.0,149878.315
Middle Africa,911,2015.0,154849.219
Middle Africa,911,2016.0,159946.536
Middle Africa,911,2017.0,165394.869
Middle Africa,911,2018.0,170763.117
Middle Africa,911,2019.0,176203.15
Middle Africa,911,2020.0,181717.165
Middle Africa,911,2021.0,187422.625
Northern Africa,912,1950.0,49457.6
Northern Africa,912,1951.0,50657.205
Northern Africa,912,1952.0,51897.402
Northern Africa,912,1953.0,53223.907
Northern Africa,912,1954.0,54600.949
Northern Africa,912,1955.0,56013.156
Northern Africa,912,1956.0,57469.129
Northern Africa,912,1957.0,58931.079
Northern Africa,912,1958.0,60397.943
Northern Africa,912,1959.0,61843.721
Northern Africa,912,1960.0,63389.623
Northern Africa,912,1961.0,64971.414
Northern Africa,912,1962.0,66542.622
Northern Africa,912,1963.0,68189.123
Northern Africa,912,1964.0,69866.977
Northern Africa,912,1965.0,71623.577
Northern Africa,912,1966.0,73382.323
Northern Africa,912,1967.0,75265.68
Northern Africa,912,1968.0,77206.696
Northern Africa,912,1969.0,79182.832
Northern Africa,912,1970.0,81175.583
Northern Africa,912,1971.0,83205.234
Northern Africa,912,1972.0,85257.858
Northern Africa,912,1973.0,87382.978
Northern Africa,912,1974.0,89600.732
Northern Africa,912,1975.0,92011.977
Northern Africa,912,1976.0,94889.872
Northern Africa,912,1977.0,97870.831
Northern Africa,912,1978.0,100723.74
Northern Africa,912,1979.0,103709.749
Northern Africa,912,1980.0,106845.918
Northern Africa,912,1981.0,110149.311
Northern Africa,912,1982.0,113541.964
Northern Africa,912,1983.0,117013.894
Northern Africa,912,1984.0,120408.642
Northern Africa,912,1985.0,123674.254
Northern Africa,912,1986.0,126988.978
Northern Africa,912,1987.0,130311.321
Northern Africa,912,1988.0,133459.647
Northern Africa,912,1989.0,136486.867
Northern Africa,912,1990.0,139675.822
Northern Africa,912,1991.0,142824.057
Northern Africa,912,1992.0,145847.636
Northern Africa,912,1993.0,148862.996
Northern Africa,912,1994.0,151984.653
Northern Africa,912,1995.0,155221.202
Northern Africa,912,1996.0,158319.047
Northern Africa,912,1997.0,161444.087
Northern Africa,912,1998.0,164583.192
Northern Africa,912,1999.0,167605.511
Northern Africa,912,2000.0,170731.455
Northern Africa,912,2001.0,173903.867
Northern Africa,912,2002.0,177071.032
Northern Africa,912,2003.0,180304.737
Northern Africa,912,2004.0,183529.404
Northern Africa,912,2005.0,186874.98
Northern Africa,912,2006.0,190265.013
Northern Africa,912,2007.0,193817.64
Northern Africa,912,2008.0,197527.126
Northern Africa,912,2009.0,201285.734
Northern Africa,912,2010.0,205175.733
Northern Africa,912,2011.0,209052.07
Northern Africa,912,2012.0,212381.665
Northern Africa,912,2013.0,216624.537
Northern Africa,912,2014.0,221217.481
Northern Africa,912,2015.0,226000.64
Northern Africa,912,2016.0,230720.212
Northern Africa,912,2017.0,235442.007
Northern Africa,912,2018.0,240242.867
Northern Africa,912,2019.0,244831.494
Northern Africa,912,2020.0,249216.141
